Fluid Velocity (m/s),Radius (m),Wasp Velocity (m/s),Wasp Endurance (s),Trial 1,Trial 2,Trial 3,Average,Std Dev
0,0.02,0.34,0.6,2106,2143,2169,2139.333333,31.65964835
0.12,0.02,0.34,0.6,1740,1770,1748,1752.666667,15.53490693
0.16,0.02,0.34,0.6,1560,1574,1579,1571,9.848857802
0.22,0.02,0.34,0.6,1439,1420,1434,1431,9.848857802
0.29,0.02,0.34,0.6,1483,1590,503,1192,599.0851359
0.43,0.02,0.34,0.6,827,905,715,815.6666667,95.50567173
0.51,0.02,0.34,0.6,570,533,612,571.6666667,39.52636251
0.51,0.02,0.34,1,1019,1056,1013,1029.333333,23.2880513
0.51,0.02,0.34,3,1354,1326,,1340,19.79898987
0.51,0.02,0.42,0.6,1218,949,1209,1125.333333,152.7754343
0.51,0.02,0.42,1,1523,1461,1430,1471.333333,47.35328218
0.51,0.02,0.42,3,1729,1636,1593,1652.666667,69.51498639
0.51,0.02,0.5,0.6,1499,1479,1464,1480.666667,17.55942292
0.51,0.02,0.5,1,1688,1694,1666,1682.666667,14.74222959
0.51,0.02,0.5,3,1791,1777,1761,1776.333333,15.011107
0.43,0.02,0.34,1,1290,1191,1183,1221.333333,59.60145412
0.43,0.02,0.34,3,1482,1410,1394,1428.666667,46.87572222
0.43,0.02,0.42,0.6,1368,1337,1183,1296,99.08077513
0.43,0.02,0.42,1,1598,1580,1519,1565.666667,41.40450861
0.43,0.02,0.42,3,1741,1717,1611,1689.666667,69.17610377
0.43,0.02,0.5,0.6,1575,1563,1544,1560.666667,15.63116545
0.43,0.02,0.5,1,1688,1691,1738,1705.666667,28.04163571
0.43,0.02,0.5,3,1775,1746,1732,1751,21.9317122
0.35,0.02,0.34,1,1439,1479,1468,1462,20.66397832
0.35,0.02,0.34,3,1660,1633,1634,1642.333333,15.30795
0.35,0.02,0.42,0.6,1491,1455,1483,1476.333333,18.90326251
0.35,0.02,0.42,1,1718,1686,1648,1684,35.04283094
0.35,0.02,0.42,3,1724,1747,1776,1749,26.05762844
0.35,0.02,0.5,0.6,1652,1683,1672,1669,15.71623365
0.35,0.02,0.5,1,1706,1715,1696,1705.666667,9.504384953
0.35,0.02,0.5,3,1757,1717,1738,1737.333333,20.0083316
0.12,0.02,0.34,1,1892,1839,1853,1861.333333,27.46512941
0.12,0.02,0.34,3,1888,1849,1886,1874.333333,21.96208855
0.12,0.02,0.42,0.6,1919,1950,1921,1930,17.34935157
0.12,0.02,0.42,1,1968,1954,1965,1962.333333,7.371114796
0.12,0.02,0.42,3,2005,1970,1952,1975.666667,26.95057204
0.12,0.02,0.5,0.6,2067,2058,2050,2058.333333,8.504900548
0.12,0.02,0.5,1,2060,2073,2084,2072.333333,12.01388086
0.12,0.02,0.5,3,2066,2033,2061,2053.333333,17.7857621
0.16,0.02,0.34,1,1806,1812,1761,1793,27.87471973
0.16,0.02,0.34,3,1796,1787,1795,1792.666667,4.932882862
0.16,0.02,0.42,0.6,1825,1828,1798,1817,16.52271164
0.16,0.02,0.42,1,1884,1855,1840,1859.666667,22.36813209
0.16,0.02,0.42,3,1893,1847,1864,1868,23.2594067
0.16,0.02,0.5,0.6,1959,2013,1976,1982.666667,27.61038452
0.16,0.02,0.5,1,1931,1924,1914,1923,8.544003745
0.16,0.02,0.5,3,1935,1952,1908,1931.666667,22.18858565
0.35,0.005,0.34,0.6,84,88,91,87.66666667,3.511884584
0.35,0.01,0.34,0.6,97,75,73,81.66666667,13.31665624
0.35,0.02,0.34,0.6,1094,1083,1088,1088.333333,5.507570547
0.35,0.04,0.34,0.6,2174,2142,,2158,22.627417
